"Category","Peak Demand","Peak Met"
" Rajasthan<br>Feb-2020",14277,14277
" Rajasthan<br>Jan-2020",14017,14017
" Rajasthan<br>Dec-2020",14335,14335
" Rajasthan<br>Nov-2020",13050,13050
" Rajasthan<br>Oct-2020",12718,12718
" Rajasthan<br>Sep-2020",12742,12742
" Rajasthan<br>Aug-2020",12211,12211
" Rajasthan<br>Jul-2020",13079,13079
" Rajasthan<br>Jun-2020",12755,12755
" Rajasthan<br>May-2020",12050,12050
" Rajasthan<br>Apr-2020",9304,9304
" Rajasthan<br>Mar-2020",13599,13599
" Rajasthan<br>Feb-2020",14277,14277
" Rajasthan<br>Jan-2020",14017,14017
